"Timestamp","Selecciona tu sexo 👤","¿Cuántos años tienes? 🎂","¿Cuál es tu situación sentimental? ❤️","¿Trabajas? 💼","¿Tienes hijos? 🍼","¿Cuál es tu código postal?","¿A qué carrera ingresaste?","¿En qué grupo estás?","¿Qué tanto evitaste que tu carrera tuviera matemáticas?","Esta carrera ¿Fue tu primera opción?","¿La FES Acatlán fue tu primera opción para cursar esta carrera?","¿De qué bachillerato provienes?","¿Qué promedio obtuviste en el bachillerato?","Si tuvieras que volver a clases presenciales ¿Cuánto tiempo tardarías en minutos en llegar a la FES Acatlán? ⏱","¿Cuánto gastarías de pasaje / gasolina a la semana?","¿A cuánto asciende el ingreso mensual neto de todas las personas que trabajan y viven contigo?","¿En dónde tomas tus clases en línea?","¿Cuántas personas viven contigo?","De las personas que viven contigo ¿Cuántas toman clases en línea?","De las personas que viven contigo ¿Cuántas trabajan en línea?","¿Cuántas computadoras hay en tu casa?","¿Cómo funciona tu internet para las clases en línea?","Hazle un test a tu Internet (ingresando a speedtest.net) y compártenos su velocidad","¿Qué sistema operativo tiene la computadora que utilizas para estudiar en línea?","¿Con cuántas personas compartes habitación mientras tomas clases en línea?","Aproximadamente ¿Cuánto has gastado para adaptarte a las clases en línea?","Del 1 al 5 ¿Qué tan bien estaban preparados tus profesores para dar clases en línea?","¿Cuánto tiempo en minutos dedicas a estudiar fuera de las clases en línea?","Aproximadamente ¿Cuántas veces revisas tu celular mientras estás en una clase en línea?","Del 1 al 5 ¿Cuánto extrañas las clases presenciales? 📖","Del 1 al 5 ¿Cuánto extrañas convivir con tus compañeros o amigos de la escuela? 👩🏻‍🤝‍🧑🏼","Del 1 al 5 ¿Cuánto extrañas las actividades extras que ofrecía tu escuela? ⚽🎹🎬","Del 1 al 5 ¿Cuánto te agrada poner la cámara en las clases en línea?","Del 1 al 5 ¿Qué tan buen estudiante en línea consideras que eres?","¿Te gustaría volver a clases presenciales?"
"2021/08/13 11:23:15 AM CDT","Hombre","19","Soltero","No","No","54958","Actuaría","1103","1","Si","Sí","Prepa UNAM","8.3","45 ","180","8000","Mi casa","2","0","0","2","5","47.24","Windows","0","0","3","120","5","5","5","5","3","3","Si"
"2021/08/13 11:23:16 AM CDT","Hombre","18","Tengo pareja","No","No","55710","Actuaría","1103","1","Si","Sí","Otro","9.4","90","300","30000","Mi casa","1","0","0","2","5","83.09","Windows","0","2000","4","120","4","4","5","5","3","4","Si"
"2021/08/13 11:24:02 AM CDT","Hombre","17","Tengo pareja","No","No","03440","Actuaría","1103","1","Si","No","Prepa UNAM","8.72","90","70 ","10.000","Mi casa","3","1","1","2","3","3.50","Windows","1","15000 ","3","180","2","4","4","2","2","4","Si"
"2021/08/13 11:24:07 AM CDT","Mujer","17","Tengo pareja","No","No","04909","Actuaría","1103","1","Si","No","CCH","8.4","120","170","25000","Mi casa","2","1","0","1","4","30.40","Windows","1","13000","4","120","10","4","5","3","1","4","Si"
"2021/08/13 11:24:14 AM CDT","Hombre","18","Soltero","No","No","54720","Actuaría","1103","1","Si","Sí","CCH","8.9","60","350","7500","Mi casa","4","2","2","2","4","53.7","Windows","0","4000","2","3","3","4","5","5","3","4","Si"
"2021/08/13 11:24:23 AM CDT","Hombre","18","Soltero","Si","No","53770","Actuaría","1103","1","Si","Sí","CCH","9.0","60","240","30000","Mi casa","3","1","1","2","4","16.80","Windows","1","0","2","60","5","5","5","5","3","3","Si"
"2021/08/13 11:24:43 AM CDT","Mujer","17","Soltero","No","No","53760","Actuaría","1103","1","Si","Sí","CCH","9.3","30","200","5000","Mi casa","4","0","1","1","4","52.67","Windows","1","800","3","420","2","5","5","5","1","4","Si"
"2021/08/13 11:24:58 AM CDT","Hombre","18","Soltero","No","No","53218","Actuaría","1103","1","Si","Sí","CCH","9.4","30","120","8000","Mi casa","7","2","1","2","4","20","Windows","1","800","3","60","10","4","5","3","1","4","Si"
"2021/08/13 11:25:09 AM CDT","Hombre","17","Soltero","Si","No","54870","Actuaría","1103","2","Si","Sí","CCH","8.16","120","300","1500","Mi casa","4","1","0","1","3","40.10","Windows","0","15000","3","120","1","3","3","5","3","3","Si"
"2021/08/13 11:25:09 AM CDT","Hombre","19","Soltero","Si","No","53100","Actuaría","1103","1","Si","Sí","CCH","9.35","20","280","45000","Mi casa","4","0","2","3","3","49.85","Windows","1","12000","2","120","6","3","5","5","2","3","Si"
"2021/08/13 11:25:17 AM CDT","Hombre","18","Soltero","Si","No","55076","Actuaría","1103","1","Si","Sí","Prepa UNAM","8.7","150","550","9000","Mi casa","3","2","1","2","2","15","Windows","1","1500","2","200","1","5","5","5","3","3","Si"
"2021/08/13 11:25:18 AM CDT","Mujer","18","Soltero","No","No","07469","Actuaría","1103","2","Si","Sí","CCH","9.78","120","110","10000","Mi casa","4","1","1","2","4","19.72","MAC OS X","0","8000","4","5","4","5","4","3","3","4","Si"
"2021/08/13 11:25:21 AM CDT","Mujer","17","Soltero","No","No","52918","Actuaría","1103","2","Si","Sí","CCH","9.1","120","250","10000","Mi casa","3","1","0","2","5","30.31","Windows","1","0","4","120","2","4","5","4","3","4","Si"
"2021/08/13 11:25:22 AM CDT","Mujer","18","Soltero","No","No","02120","Actuaría","1103","1","Si","Sí","CCH","9.9","75","300","18000","Mi casa","5","2","0","2","3","44.01","Windows","0","20000","2","360","3","5","5","4","3","4","Si"
"2021/08/13 11:25:44 AM CDT","Hombre","18","Soltero","No","No","09210","Actuaría","1103","1","No","Sí","Prepa UNAM","8.17","120","252","20000","Mi casa","3","0","2","4","4","19.63","Windows","0","0","3","30","7","4","4","2","2","3","Si"
"2021/08/13 11:25:54 AM CDT","Hombre","18","Tengo pareja","No","No","54946","Actuaría","1103","1","Si","Sí","CCH","8.89","45","250","8000","Mi casa","6","2","2","3","4","19.69","Windows","0","3000","3","180","3","5","5","5","1","1","Si"
"2021/08/13 11:25:56 AM CDT","Hombre","18","Tengo pareja","No","No","54060","Actuaría","1103","1","Si","Sí","CCH","9.0","50","300","14000","Mi casa","3","1","0","1","5","40.49","Windows","0","16000","4","150","2","5","5","5","3","4","Si"
"2021/08/13 11:26:11 AM CDT","Hombre","18","Soltero","No","No","54720","Actuaría","1103","1","Si","Sí","Otro","9.58","60","400","12000","Mi casa","5","3","1","3","3","25.32","Windows","1","10000","3","180","2","5","5","5","2","4","Si"
"2021/08/13 11:26:17 AM CDT","Hombre","18","Soltero","No","No","02160","Actuaría","1103","1","Si","No","Prepa UNAM","8.6","30","10","15000","Mi casa","3","1","0","2","3","31.35","Windows","1","5000","3","180","3","5","5","5","1","3","Si"
"2021/08/13 11:26:22 AM CDT","Hombre","17","Soltero","No","No","541800","Actuaría","1103","1","Si","Sí","CCH","8.59","120","50","15000","Mi casa","4","2","0","2","3","15.14","Windows","2","5000","3","120","4","5","5","5","3","3","Si"
"2021/08/13 11:26:33 AM CDT","Mujer","18","Soltero","No","No","53830","Actuaría","1103","1","Si","Sí","CCH","9.2","40 ","250","5000","Mi casa","4","3","0","1","4","81.25","Windows","1","1000","4","6","2","5","5","5","1","4","Si"
"2021/08/13 11:26:47 AM CDT","Mujer","17","Tengo pareja","No","No","54957","Actuaría","1103","2","Si","Sí","CCH","8.7","90 ","350","8000","Mi casa","4","1","0","2","3","15.00","Windows","1","15000","4","300","5","5","5","4","2","3","Si"
"2021/08/13 11:26:48 AM CDT","Mujer","18","Soltero","No","No","56644","Actuaría","1103","1","Si","Sí","Otro","9.3","180","500","25000","Mi casa","3","1","0","2","3","5.17","Windows","0","22000","5","4","3","5","5","4","3","4","Si"
"2021/08/13 11:26:58 AM CDT","Mujer","19","Tengo pareja","No","No","52919","Actuaría","1103","1","Si","Sí","CCH","8.6","60","200","4500","Mi casa","9","4","0","1","3","10.89","Windows","2","0","3","180","3","5","5","5","4","1","Si"
"2021/08/13 11:27:25 AM CDT","Mujer","18","Tengo pareja","Si","No","09700","Actuaría","1103","1","Si","Sí","CCH","8.4","150","300","7000","Mi casa","9","2","0","1","3","20.50","Windows","1","500","4","250","2","5","5","5","1","3","Si"
"2021/08/13 11:27:29 AM CDT","Mujer","18","Soltero","No","No","54930","Actuaría","1103","1","Si","Sí","CCH","9.8","120","400","6000","Mi casa","4","2","0","2","4","13.88","Windows","1","2000","3","300","3","5","5","5","2","3","Si"
"2021/08/13 11:27:51 AM CDT","Mujer","19","Soltero","No","No","54473","Actuaría","1103","1","Si","Sí","Otro","9.7","40","200","20000","Mi casa","8","5","1","4","5","68","Windows","7","20000","5","240","5","4","5","3","4","3","Si"
"2021/08/13 11:27:58 AM CDT","Hombre","18","Soltero","No","No","53970","Actuaría","1103","1","Si","Sí","Prepa UNAM","8.1","30 ","30","25000","Mi casa","2","1","1","4","5","39.8","Windows","0","1000","4","180","4","5","5","5","3","3","Si"
"2021/08/13 11:28:57 AM CDT","Hombre","18","Soltero","Si","No","55736","Actuaría","1103","2","Si","No","Prepa UNAM","8.8","66","200","11000","Mi casa","5","4","1","2","1","5.83","Windows","2","5000","2","266","10","5","5","5","5","2","Si"
"2021/08/13 11:29:17 AM CDT","Mujer","18","Soltero","No","No","54958","Actuaría","1103","1","Si","Sí","CCH","9.41","80","250","15000","Mi casa","5","1","1","1","5","63.20","Windows","4","300","4","300","5","5","5","3","3","4","Si"
"2021/08/13 11:30:09 AM CDT","Hombre","17","Soltero","No","No","53427","Actuaría","1103","1","Si","Sí","CCH","9.0","20","300","20000","Mi casa","4","2","1","0","3","25.43","Windows","0","5000","2","240","20","5","5","5","3","3","Si"
"2021/08/13 11:30:44 AM CDT","Mujer","19","Soltero","Si","No","53426","Actuaría","1103","1","Si","Sí","CCH","9.2","30","300","15000","Mi casa","4","1","0","2","2","20.35","Windows","0","5000","1","180","5","5","5","1","1","1","Si"
"2021/08/13 11:31:47 AM CDT","Mujer","18 ","Soltero","No","No","53570","Actuaría","1103","2","Si","Sí","CCH","8.5","30","240","6000","Mi casa","5","3","0","2","3","129","Windows","3","500","3","180","5","5","5","5","3","5","Si"
